Pair_ID,Macro_Domain,Difficulty_Tier,National_Statute_Title,Exact_Section_Citation,National_Statutory_Text,Local_Ordinance_Title,Local_Section_Citation,Local_Ordinance_Hypothesis_Text,Local_Legislative_Provenance,Annotator_Decision (Select: Entailment | Contradiction | Neutral),Annotator_Confidence (1-5),Annotator_Notes_Rationale
GT-022,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",Section 6,"SECTION 6. COORDINATION WITH NATIONAL PRICE AGENCIES. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, the City Economic Enterprise Office shall coordinate with the Department of Trade and Industry Region XI to post official prevailing price bulletins across all public terminal markets, recognizing all statutory price ceiling adjustments authorized by national implementing agencies. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",,,
GT-023,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","City Ordinance No. 0422-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Organization Code)",Section 4,"SECTION 4. BARANGAY EVACUATION COORDINATION. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, the CDRRMO shall establish direct communication linkages with Barangay Disaster Risk Reduction and Management Committees across all administrative districts, maintaining unified operational command during natural calamities. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0422-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Organization Code)",,,
GT-024,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018),Section 9(b)(1),"Section 9(b)(1). Action of Offices. — All applications or requests submitted shall be acted upon by the assigned officer or employee within the prescribed processing time stated in the Citizen's Charter which shall not exceed: three (3) working days in the case of simple transactions; seven (7) working days in the case of complex transactions; and twenty (20) working days in the case of applications or requests involving activities which pose danger to public health, public safety, public morals, public policy, and highly technical transactions. The maximum time prescribed above may be extended only once for the same number of days, which shall be indicated in the Citizen's Charter.","City Ordinance No. 0334-18, Series of 2018 (The Davao City Business Regulatory Ease and Anti-Red Tape Administrative Procedures Code)",Section 5,"SECTION 5. INTEGRATED APPLICATION PROCESSING. — To uphold transparent administrative efficiency and streamline government service delivery across all municipal departments, the Business Bureau shall operate the Business One-Stop Shop (BOSS) electronically, issuing written acknowledgement receipts upon document submission containing the date, time, and assigned tracking number. Failure to observe the administrative procedures established herein shall subject the responsible local officials to administrative review under the Local Government Code.","City Ordinance No. 0334-18, Series of 2018 (The Davao City Business Regulatory Ease and Anti-Red Tape Administrative Procedures Code)",,,
GT-025,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",Section 6,"SECTION 6. COORDINATION WITH NATIONAL PRICE AGENCIES. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, the City Economic Enterprise Office shall coordinate with the Department of Trade and Industry Region XI to post official prevailing price bulletins across all public terminal markets, recognizing all statutory price ceiling adjustments authorized by national implementing agencies. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",,,
GT-026,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","City Ordinance No. 0422-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Organization Code)",Section 4,"SECTION 4. BARANGAY EVACUATION COORDINATION. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, the CDRRMO shall establish direct communication linkages with Barangay Disaster Risk Reduction and Management Committees across all administrative districts, maintaining unified operational command during natural calamities. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0422-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Organization Code)",,,
GT-027,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018),Section 9(b)(1),"Section 9(b)(1). Action of Offices. — All applications or requests submitted shall be acted upon by the assigned officer or employee within the prescribed processing time stated in the Citizen's Charter which shall not exceed: three (3) working days in the case of simple transactions; seven (7) working days in the case of complex transactions; and twenty (20) working days in the case of applications or requests involving activities which pose danger to public health, public safety, public morals, public policy, and highly technical transactions. The maximum time prescribed above may be extended only once for the same number of days, which shall be indicated in the Citizen's Charter.","City Ordinance No. 0334-18, Series of 2018 (The Davao City Business Regulatory Ease and Anti-Red Tape Administrative Procedures Code)",Section 5,"SECTION 5. INTEGRATED APPLICATION PROCESSING. — To uphold transparent administrative efficiency and streamline government service delivery across all municipal departments, the Business Bureau shall operate the Business One-Stop Shop (BOSS) electronically, issuing written acknowledgement receipts upon document submission containing the date, time, and assigned tracking number. Failure to observe the administrative procedures established herein shall subject the responsible local officials to administrative review under the Local Government Code.","City Ordinance No. 0334-18, Series of 2018 (The Davao City Business Regulatory Ease and Anti-Red Tape Administrative Procedures Code)",,,
GT-028,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",Section 6,"SECTION 6. COORDINATION WITH NATIONAL PRICE AGENCIES. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, the City Economic Enterprise Office shall coordinate with the Department of Trade and Industry Region XI to post official prevailing price bulletins across all public terminal markets, recognizing all statutory price ceiling adjustments authorized by national implementing agencies. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",,,
GT-029,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","City Ordinance No. 0415-18, Series of 2018 (The Davao City Public Market Concessionaire Tenancy and Commercial Stall Standardization Ordinance)",Section 8,"SECTION 8. TERMINAL VEHICULAR UNLOADING SCHEDULE. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, wholesale freight vehicles transporting agricultural produce into the Bankerohan and Agdao Public Markets shall conduct heavy cargo discharge operations exclusively between midnight and dawn to minimize central traffic congestion. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0415-18, Series of 2018 (The Davao City Public Market Concessionaire Tenancy and Commercial Stall Standardization Ordinance)",,,
GT-030,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","City Ordinance No. 0355-17, Series of 2017 (The Davao City Rainwater Harvesting Facility and Civil Building Drainage Standards Ordinance)",Section 4,"SECTION 4. POWER DISTRIBUTION TREE PRUNING. — To uphold transparent administrative efficiency and streamline government service delivery across all municipal departments, maintenance crews trimming tree branches near high-voltage electric distribution power lines shall coordinate with the City Environment and Natural Resources Office to obtain safety clearance. Failure to observe the administrative procedures established herein shall subject the responsible local officials to administrative review under the Local Government Code.","City Ordinance No. 0355-17, Series of 2017 (The Davao City Rainwater Harvesting Facility and Civil Building Drainage Standards Ordinance)",,,
GT-031,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018),Section 9(b)(1),"Section 9(b)(1). Action of Offices. — All applications or requests submitted shall be acted upon by the assigned officer or employee within the prescribed processing time stated in the Citizen's Charter which shall not exceed: three (3) working days in the case of simple transactions; seven (7) working days in the case of complex transactions; and twenty (20) working days in the case of applications or requests involving activities which pose danger to public health, public safety, public morals, public policy, and highly technical transactions. The maximum time prescribed above may be extended only once for the same number of days, which shall be indicated in the Citizen's Charter.","City Ordinance No. 0212-16, Series of 2016 (The Davao City Central Public Administrative Archive Storage and Document Preservation Ordinance)",Section 3,"SECTION 3. OFFICIAL LETTERHEAD STANDARDIZATION. — To uphold transparent administrative efficiency and streamline government service delivery across all municipal departments, all official communications originating from city hall administrative offices shall display the official corporate seal of the City of Davao centered on the topmost margin. Failure to observe the administrative procedures established herein shall subject the responsible local officials to administrative review under the Local Government Code.","City Ordinance No. 0212-16, Series of 2016 (The Davao City Central Public Administrative Archive Storage and Document Preservation Ordinance)",,,
GT-032,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","City Ordinance No. 0415-18, Series of 2018 (The Davao City Public Market Concessionaire Tenancy and Commercial Stall Standardization Ordinance)",Section 8,"SECTION 8. TERMINAL VEHICULAR UNLOADING SCHEDULE. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, wholesale freight vehicles transporting agricultural produce into the Bankerohan and Agdao Public Markets shall conduct heavy cargo discharge operations exclusively between midnight and dawn to minimize central traffic congestion. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0415-18, Series of 2018 (The Davao City Public Market Concessionaire Tenancy and Commercial Stall Standardization Ordinance)",,,
GT-033,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","City Ordinance No. 0355-17, Series of 2017 (The Davao City Rainwater Harvesting Facility and Civil Building Drainage Standards Ordinance)",Section 4,"SECTION 4. POWER DISTRIBUTION TREE PRUNING. — To uphold transparent administrative efficiency and streamline government service delivery across all municipal departments, maintenance crews trimming tree branches near high-voltage electric distribution power lines shall coordinate with the City Environment and Natural Resources Office to obtain safety clearance. Failure to observe the administrative procedures established herein shall subject the responsible local officials to administrative review under the Local Government Code.","City Ordinance No. 0355-17, Series of 2017 (The Davao City Rainwater Harvesting Facility and Civil Building Drainage Standards Ordinance)",,,
GT-034,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018),Section 9(b)(1),"Section 9(b)(1). Action of Offices. — All applications or requests submitted shall be acted upon by the assigned officer or employee within the prescribed processing time stated in the Citizen's Charter which shall not exceed: three (3) working days in the case of simple transactions; seven (7) working days in the case of complex transactions; and twenty (20) working days in the case of applications or requests involving activities which pose danger to public health, public safety, public morals, public policy, and highly technical transactions. The maximum time prescribed above may be extended only once for the same number of days, which shall be indicated in the Citizen's Charter.","City Ordinance No. 0212-16, Series of 2016 (The Davao City Central Public Administrative Archive Storage and Document Preservation Ordinance)",Section 3,"SECTION 3. OFFICIAL LETTERHEAD STANDARDIZATION. — To uphold transparent administrative efficiency and streamline government service delivery across all municipal departments, all official communications originating from city hall administrative offices shall display the official corporate seal of the City of Davao centered on the topmost margin. Failure to observe the administrative procedures established herein shall subject the responsible local officials to administrative review under the Local Government Code.","City Ordinance No. 0212-16, Series of 2016 (The Davao City Central Public Administrative Archive Storage and Document Preservation Ordinance)",,,
GT-035,Executive Issuances & Policy Reorganization,Tier 2: Preemption & Carve-Outs,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","City Ordinance No. 0415-18, Series of 2018 (The Davao City Public Market Concessionaire Tenancy and Commercial Stall Standardization Ordinance)",Section 8,"SECTION 8. TERMINAL VEHICULAR UNLOADING SCHEDULE. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, wholesale freight vehicles transporting agricultural produce into the Bankerohan and Agdao Public Markets shall conduct heavy cargo discharge operations exclusively between midnight and dawn to minimize central traffic congestion. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0415-18, Series of 2018 (The Davao City Public Market Concessionaire Tenancy and Commercial Stall Standardization Ordinance)",,,
GT-036,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","Proposed City Ordinance No. 2024-082, Series of 2024 (The Davao City Calamity Price Stabilization and Consumer Welfare Protection Measure)",Section 5,"SECTION 5. LOCAL COMMODITY MARGIN STABILIZATION. — In the exercise of delegated police powers to preserve public safety and stabilize local economic conditions during emergency periods, and to protect vulnerable consumer households during riverine flooding emergencies, the Business Bureau is authorized to enforce mandatory gross profit margins on essential grain and canned sustenance items based on pre-emergency wholesale acquisition costs, with immediate closure of non-conforming commercial stalls. The Business Bureau and municipal inspection teams shall maintain continuous surveillance to ensure that all local commercial operations conform strictly to these municipal directives.","Proposed City Ordinance No. 2024-082, Series of 2024 (The Davao City Calamity Price Stabilization and Consumer Welfare Protection Measure)",,,
GT-037,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","Proposed City Ordinance No. 2024-115, Series of 2024 (The Davao City Civil Defense Operations Modernization and Facility Alliance Measure)",Section 7,"SECTION 7. INTEGRATED HUMANITARIAN SHELTER MANAGEMENT ALLIANCE. — Pursuant to the general welfare powers of the Sangguniang Panlungsod and in the interest of orderly municipal administration, and to optimize municipal disaster response logistics during severe flooding events, accredited private humanitarian foundations are designated as autonomous directors of designated municipal evacuation centers, possessing exclusive operational authority over relief intake and facility management. The City Legal Office and the relevant executive bureaus are hereby mandated to monitor operational implementation and initiate administrative proceedings against non-conforming entities.","Proposed City Ordinance No. 2024-115, Series of 2024 (The Davao City Civil Defense Operations Modernization and Facility Alliance Measure)",,,
GT-038,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018),Section 9(b)(1),"Section 9(b)(1). Action of Offices. — All applications or requests submitted shall be acted upon by the assigned officer or employee within the prescribed processing time stated in the Citizen's Charter which shall not exceed: three (3) working days in the case of simple transactions; seven (7) working days in the case of complex transactions; and twenty (20) working days in the case of applications or requests involving activities which pose danger to public health, public safety, public morals, public policy, and highly technical transactions. The maximum time prescribed above may be extended only once for the same number of days, which shall be indicated in the Citizen's Charter.","Proposed City Ordinance No. 2024-094, Series of 2024 (The Davao City Comprehensive Commercial Pre-Licensing Safety Audit Code)",Section 9,"SECTION 9. COMPREHENSIVE MULTI-AGENCY PRE-LICENSING AUDIT. — Pursuant to the general welfare powers of the Sangguniang Panlungsod and in the interest of orderly municipal administration, and to ensure comprehensive structural safety, the Business Bureau shall route commercial permit renewal applications through sequential onsite verification by the City Planning, Building, and Fire Directorates, issuing operating clearances only upon receiving unanimous written endorsements from each reviewing department. The City Legal Office and the relevant executive bureaus are hereby mandated to monitor operational implementation and initiate administrative proceedings against non-conforming entities.","Proposed City Ordinance No. 2024-094, Series of 2024 (The Davao City Comprehensive Commercial Pre-Licensing Safety Audit Code)",,,
GT-039,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","Proposed City Ordinance No. 2024-082, Series of 2024 (The Davao City Calamity Price Stabilization and Consumer Welfare Protection Measure)",Section 5,"SECTION 5. LOCAL COMMODITY MARGIN STABILIZATION. — In the exercise of delegated police powers to preserve public safety and stabilize local economic conditions during emergency periods, and to protect vulnerable consumer households during riverine flooding emergencies, the Business Bureau is authorized to enforce mandatory gross profit margins on essential grain and canned sustenance items based on pre-emergency wholesale acquisition costs, with immediate closure of non-conforming commercial stalls. The Business Bureau and municipal inspection teams shall maintain continuous surveillance to ensure that all local commercial operations conform strictly to these municipal directives.","Proposed City Ordinance No. 2024-082, Series of 2024 (The Davao City Calamity Price Stabilization and Consumer Welfare Protection Measure)",,,
GT-040,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","Proposed City Ordinance No. 2024-115, Series of 2024 (The Davao City Civil Defense Operations Modernization and Facility Alliance Measure)",Section 7,"SECTION 7. INTEGRATED HUMANITARIAN SHELTER MANAGEMENT ALLIANCE. — Pursuant to the general welfare powers of the Sangguniang Panlungsod and in the interest of orderly municipal administration, and to optimize municipal disaster response logistics during severe flooding events, accredited private humanitarian foundations are designated as autonomous directors of designated municipal evacuation centers, possessing exclusive operational authority over relief intake and facility management. The City Legal Office and the relevant executive bureaus are hereby mandated to monitor operational implementation and initiate administrative proceedings against non-conforming entities.","Proposed City Ordinance No. 2024-115, Series of 2024 (The Davao City Civil Defense Operations Modernization and Facility Alliance Measure)",,,
GT-041,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",Section 4,"SECTION 4. DISASTER PRICE BASING INSPECTIONS. — To optimize municipal administrative workflows and ensure comprehensive regulatory coordination across local executive directorates, the City Economic Enterprise Office shall deploy market inspectors to commercial food depots following severe typhoons, ensuring that basic retail sustenance commodities remain at pre-emergency cost baselines without unauthorized local merchant markups. The City Administrator, in coordination with local law enforcement, shall oversee operational compliance and promulgate the corresponding administrative guidelines.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",,,
GT-042,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","City Ordinance No. 0422-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Organization Code)",Section 3,"SECTION 3. METROPOLITAN WARNING DISPATCH INTEGRATION. — In the exercise of delegated police powers to preserve public safety and stabilize local economic conditions during emergency periods, the City Disaster Risk Reduction and Management Office shall maintain round-the-clock emergency telemetry and severe weather monitoring systems to provide timely pre-evacuation notices to riverbank settlements. The Business Bureau and municipal inspection teams shall maintain continuous surveillance to ensure that all local commercial operations conform strictly to these municipal directives.","City Ordinance No. 0422-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Organization Code)",,,
GT-043,Executive Issuances & Policy Reorganization,Tier 3: Latent & Paraphrastic,Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018),Section 9(b)(1),"Section 9(b)(1). Action of Offices. — All applications or requests submitted shall be acted upon by the assigned officer or employee within the prescribed processing time stated in the Citizen's Charter which shall not exceed: three (3) working days in the case of simple transactions; seven (7) working days in the case of complex transactions; and twenty (20) working days in the case of applications or requests involving activities which pose danger to public health, public safety, public morals, public policy, and highly technical transactions. The maximum time prescribed above may be extended only once for the same number of days, which shall be indicated in the Citizen's Charter.","City Ordinance No. 0334-18, Series of 2018 (The Davao City Business Regulatory Ease and Anti-Red Tape Administrative Procedures Code)",Section 7,"SECTION 7. EXPEDITED COMMERCIAL CLEARANCE WORKFLOW. — To optimize municipal administrative workflows and ensure comprehensive regulatory coordination across local executive directorates, the Business Bureau shall process routine trade permit filings through automated validation queues, providing immediate digital clearance to non-hazardous commercial enterprises without arbitrary bureaucratic postponement. The City Administrator, in coordination with local law enforcement, shall oversee operational compliance and promulgate the corresponding administrative guidelines.","City Ordinance No. 0334-18, Series of 2018 (The Davao City Business Regulatory Ease and Anti-Red Tape Administrative Procedures Code)",,,
